ニコンFマウント
キヤノンEFマウント
ペンタックスKマウント
ペンタックスQマウント
フォーサーズマウント
マイクロフォーサーズマウント
α Aマウント
α Eマウント
ニコン1マウント
キヤノンEF-Mマウント
Xマウント
シグマSAマウント
